,Belt_id,State_Change,Curr_State
0,1,2020-01-01 10:29:27.822910,1
1,3,2020-01-03 14:19:13.990990,0
2,1,2020-01-06 13:50:34.455477,0
3,1,2020-01-07 07:25:54.927839,0
4,3,2020-01-08 08:25:36.097652,0
5,4,2020-01-18 01:45:53.371096,1
6,4,2020-01-19 20:32:28.519876,1
7,1,2020-01-23 12:56:48.257799,1
8,4,2020-01-24 04:32:11.103005,1
9,2,2020-01-24 10:50:10.648614,0
10,1,2020-01-27 13:57:52.383795,1
11,4,2020-01-30 10:40:30.951897,1
12,3,2020-01-31 07:32:19.875743,0
13,2,2020-02-04 02:53:38.332433,0
14,1,2020-02-07 10:49:32.319771,1
15,3,2020-02-17 08:16:45.300679,0
16,3,2020-02-19 19:48:37.643194,1
17,4,2020-02-21 01:13:38.116911,0
18,1,2020-02-22 19:31:28.222686,1
19,3,2020-02-24 04:59:44.033439,0
20,1,2020-03-07 13:17:19.627831,0
21,2,2020-03-08 18:40:14.140420,0
22,1,2020-03-15 16:53:01.440648,0
23,2,2020-03-15 22:18:29.207680,1
24,1,2020-03-15 22:21:50.661691,1
25,1,2020-03-16 21:42:55.148540,1
26,3,2020-03-16 22:17:11.445911,1
27,1,2020-03-27 19:06:32.807627,0
28,1,2020-03-28 22:08:55.742647,1
29,1,2020-04-03 03:54:48.493277,0
30,2,2020-04-09 12:44:06.603879,0
31,4,2020-04-10 01:58:33.121241,1
32,1,2020-04-14 10:38:32.921222,1
33,4,2020-04-22 12:42:01.230818,1
34,4,2020-04-23 19:34:03.571944,0
35,1,2020-05-02 13:30:54.353551,1
36,4,2020-05-06 08:14:14.239896,0
37,2,2020-05-08 20:06:15.675144,1
38,1,2020-05-08 23:00:07.233611,0
39,1,2020-05-09 12:24:15.520340,0
40,1,2020-05-19 04:01:42.001852,1
41,2,2020-05-21 08:33:34.558068,1
42,2,2020-05-22 05:17:47.176288,1
43,1,2020-05-26 14:04:35.704596,1
44,3,2020-05-27 04:12:14.976067,1
45,1,2020-05-27 15:03:49.370113,0
46,3,2020-05-28 20:34:50.558819,1
47,3,2020-05-29 17:53:27.861207,1
48,2,2020-06-04 09:45:12.772335,1
49,1,2020-06-10 00:09:13.334456,1
50,4,2020-06-13 04:27:28.432781,0
51,4,2020-06-13 19:27:46.306352,1
52,1,2020-06-14 20:57:33.335756,1
53,4,2020-06-18 11:55:09.454589,1
54,1,2020-06-23 16:43:42.820695,1
55,2,2020-06-25 05:59:24.066919,1
56,4,2020-07-02 22:42:53.070928,1
57,2,2020-07-10 02:54:48.665878,1
58,3,2020-07-13 09:11:11.529992,1
59,1,2020-07-18 07:32:28.858160,0
60,4,2020-07-19 17:54:21.908442,0
61,2,2020-07-25 07:47:29.176924,0
62,2,2020-08-07 20:38:38.807019,0
63,1,2020-08-15 10:44:27.974497,0
64,2,2020-08-15 12:35:12.120424,0
65,2,2020-08-16 00:17:17.173670,1
66,2,2020-08-18 03:37:03.509374,0
67,4,2020-08-20 13:17:46.682598,0
68,3,2020-08-30 10:34:41.537834,1
69,3,2020-09-03 13:44:03.950212,0
70,3,2020-09-08 16:07:20.114430,1
71,4,2020-09-11 17:27:24.203046,0
72,3,2020-09-14 22:01:50.499016,1
73,4,2020-09-15 13:13:07.491722,1
74,1,2020-09-22 21:57:23.852366,1
75,3,2020-09-25 22:51:12.268641,1
76,1,2020-09-27 15:59:13.726638,1
77,1,2020-10-12 02:05:53.803907,0
78,4,2020-10-21 13:55:43.682629,0
79,1,2020-10-23 16:33:10.901641,0
80,3,2020-10-26 18:07:21.163952,0
81,4,2020-10-28 22:03:26.740900,0
82,4,2020-11-01 11:39:33.246721,0
83,1,2020-11-01 22:41:27.694381,1
84,1,2020-11-02 21:44:49.386250,0
85,4,2020-11-03 16:27:13.288880,0
86,4,2020-11-04 17:42:20.119814,0
87,1,2020-11-04 21:16:46.599246,1
88,1,2020-11-05 09:01:28.386339,1
89,4,2020-11-08 10:39:16.846066,1
90,1,2020-11-08 12:37:42.290402,1
91,4,2020-11-14 00:09:40.411993,0
92,2,2020-11-16 13:47:47.370076,0
93,1,2020-11-18 01:33:50.563323,0
94,3,2020-11-23 07:55:20.477360,0
95,1,2020-12-01 12:40:28.887924,0
96,1,2020-12-04 13:35:01.341185,0
97,2,2020-12-06 17:23:07.940187,0
98,2,2020-12-17 08:04:18.615310,1
99,4,2020-12-18 09:47:40.957236,0
