,Loco_id,State_Change,Curr_State
0,3,2020-01-12 22:04:09.412323,0
1,3,2020-01-15 12:59:41.438591,0
2,4,2020-01-15 17:23:12.430527,0
3,3,2020-01-15 21:21:24.264146,1
4,3,2020-01-17 11:25:39.419669,0
5,3,2020-01-28 03:26:08.091525,1
6,4,2020-01-30 02:35:47.428574,0
7,4,2020-01-30 03:20:52.797168,0
8,2,2020-01-31 05:27:27.070135,1
9,2,2020-01-31 16:53:09.913998,2
10,2,2020-02-04 14:06:37.774442,1
11,3,2020-02-05 04:10:50.451989,2
12,4,2020-02-14 10:31:45.271018,1
13,3,2020-02-16 05:37:30.753912,1
14,1,2020-02-20 11:15:21.569027,1
15,2,2020-02-22 21:28:43.004945,2
16,1,2020-02-25 18:11:47.224416,1
17,4,2020-02-27 03:11:32.268717,2
18,3,2020-03-01 00:36:56.027236,2
19,3,2020-03-05 11:17:49.954024,1
20,4,2020-03-09 19:00:24.620196,0
21,1,2020-03-20 15:12:42.017402,1
22,3,2020-03-25 18:26:52.359941,1
23,4,2020-03-29 21:31:45.993455,0
24,3,2020-03-30 10:08:12.668386,0
25,2,2020-04-04 04:46:01.124933,0
26,4,2020-04-09 03:32:07.222952,2
27,4,2020-04-10 21:10:38.375599,2
28,1,2020-04-12 19:12:05.833542,2
29,2,2020-04-17 04:53:29.923958,0
30,1,2020-04-17 19:44:58.049373,1
31,1,2020-04-18 04:43:05.042725,0
32,2,2020-04-18 19:38:05.364665,0
33,1,2020-04-20 06:16:17.698331,1
34,2,2020-04-23 01:45:25.867599,2
35,4,2020-04-23 14:52:21.653270,0
36,3,2020-04-29 05:39:38.091242,2
37,1,2020-05-01 08:18:02.395268,2
38,2,2020-05-01 23:42:10.802053,2
39,4,2020-05-02 10:21:52.709687,0
40,2,2020-05-16 09:11:22.542750,1
41,1,2020-05-28 01:59:44.172028,1
42,3,2020-05-30 00:03:39.795317,0
43,3,2020-06-01 14:56:02.156919,2
44,3,2020-06-02 04:02:27.095157,1
45,2,2020-06-07 23:55:59.237720,2
46,4,2020-06-14 01:26:30.335694,0
47,2,2020-06-18 19:15:08.785638,0
48,1,2020-06-19 12:09:49.266701,2
49,4,2020-06-21 20:44:58.236651,1
50,4,2020-06-29 08:53:34.638000,0
51,2,2020-07-01 07:25:37.019421,0
52,1,2020-07-06 04:56:12.039962,1
53,4,2020-07-11 07:49:55.622738,2
54,4,2020-07-11 14:38:52.553115,2
55,1,2020-07-19 11:50:03.624233,0
56,3,2020-07-22 16:39:07.571169,1
57,1,2020-07-28 14:16:02.137268,1
58,3,2020-07-28 15:38:13.940540,0
59,4,2020-08-03 00:56:44.096527,1
60,4,2020-08-06 18:29:17.868394,2
61,1,2020-08-13 02:31:33.936535,0
62,1,2020-08-14 13:49:20.647588,2
63,4,2020-08-20 10:44:50.932437,2
64,1,2020-08-22 13:22:09.346847,0
65,3,2020-08-23 12:31:30.934539,1
66,3,2020-08-27 00:27:05.623204,1
67,1,2020-08-31 09:34:17.952690,1
68,4,2020-08-31 17:44:21.618303,1
69,3,2020-09-08 11:16:21.759359,2
70,4,2020-09-10 05:05:41.334098,2
71,2,2020-09-18 00:23:28.876497,2
72,4,2020-09-18 21:30:22.388379,0
73,3,2020-09-21 10:28:26.009153,0
74,2,2020-09-28 08:21:11.713703,2
75,1,2020-10-02 14:07:42.668004,1
76,1,2020-10-07 01:22:32.826560,1
77,1,2020-10-07 20:51:58.309260,2
78,2,2020-10-10 08:26:34.439982,2
79,4,2020-10-13 08:15:56.083963,1
80,3,2020-10-13 19:35:55.168438,0
81,4,2020-10-21 11:24:41.727273,1
82,4,2020-10-25 10:57:06.195110,1
83,3,2020-10-25 17:54:39.699020,0
84,3,2020-11-04 12:47:47.203712,1
85,1,2020-11-05 04:38:32.756807,1
86,3,2020-11-06 10:38:58.344049,1
87,2,2020-11-09 17:06:51.784435,1
88,2,2020-11-10 22:54:48.303916,1
89,3,2020-11-17 14:13:08.486946,2
90,3,2020-11-19 07:44:04.035152,0
91,1,2020-11-22 11:13:14.002844,1
92,3,2020-11-26 11:48:26.503594,1
93,2,2020-11-27 14:52:25.856966,2
94,4,2020-11-28 12:13:00.213574,0
95,3,2020-11-28 18:46:31.525373,1
96,3,2020-12-16 17:21:06.655668,1
97,4,2020-12-22 01:11:09.315934,1
98,1,2020-12-24 04:46:31.690898,2
99,1,2020-12-26 22:37:54.824815,0
