,Car_ID,Entry,Exit
1,1,2020-01-05 19:10:05.100457,2020-01-05 21:14:04.789693
2,2,2020-01-06 11:39:39.557929,2020-01-08 17:29:44.004984
3,3,2020-01-08 15:05:53.973758,2020-01-08 23:32:45.011633
4,4,2020-01-09 04:47:29.148904,2020-01-09 05:04:37.913104
5,5,2020-01-17 08:33:00.077052,2020-01-19 16:20:59.840003
6,6,2020-01-19 22:10:42.514864,2020-01-20 02:38:22.990152
7,7,2020-01-26 04:45:12.809028,2020-01-27 15:05:59.263514
8,8,2020-02-09 08:09:43.327896,2020-02-09 17:05:01.304330
9,9,2020-02-12 17:05:21.271691,2020-02-12 22:11:20.773286
10,10,2020-02-15 01:10:54.490789,2020-02-15 06:52:53.944831
11,11,2020-02-29 17:36:29.459622,2020-03-03 14:42:40.806400
12,12,2020-03-04 13:22:11.652139,2020-03-04 22:16:17.104877
13,13,2020-03-11 04:25:20.703126,2020-03-11 08:56:56.002449
14,14,2020-03-12 06:58:36.938741,2020-03-12 03:35:13.670430
15,15,2020-03-16 06:26:28.242104,2020-03-16 18:59:19.606549
16,16,2020-03-19 04:39:12.189676,2020-03-20 17:56:53.891278
17,17,2020-03-22 14:22:28.986239,2020-03-22 18:38:13.452534
18,18,2020-03-27 18:18:00.374643,2020-03-29 11:02:47.761923
19,19,2020-03-28 15:14:14.895707,2020-03-31 05:43:27.951853
20,20,2020-04-01 15:01:13.211724,2020-04-03 20:17:53.923130
21,21,2020-04-10 05:23:27.285753,2020-04-13 23:52:48.067106
22,22,2020-04-15 00:22:07.354957,2020-04-15 04:42:19.129348
23,23,2020-04-21 17:41:07.728203,2020-04-21 11:19:02.395331
24,24,2020-04-22 16:10:01.294513,2020-04-25 12:18:05.481915
25,25,2020-04-23 11:02:56.311913,2020-04-25 21:21:06.022757
26,26,2020-04-25 23:29:01.065076,2020-04-26 00:05:17.451675
27,27,2020-04-27 07:20:03.086417,2020-04-27 16:29:23.246994
28,28,2020-05-03 06:51:46.358583,2020-05-03 22:47:32.483135
29,29,2020-05-05 02:50:12.557548,2020-05-07 22:44:31.145393
30,30,2020-05-09 05:32:59.388725,2020-05-09 19:25:13.768035
31,31,2020-05-09 22:31:30.167449,2020-05-10 04:50:44.163928
32,32,2020-05-11 10:41:07.639842,2020-05-13 23:32:26.941325
33,33,2020-05-18 15:14:40.769560,2020-05-22 01:46:01.483183
34,34,2020-05-18 21:47:54.757222,2020-05-19 09:39:23.353980
35,35,2020-05-20 13:35:07.576969,2020-05-22 02:24:51.092235
36,36,2020-05-20 23:20:10.450896,2020-05-24 12:31:08.371320
37,37,2020-05-25 20:34:38.858770,2020-05-26 23:12:14.336980
38,38,2020-05-30 22:18:15.851401,2020-05-30 23:58:00.438882
39,39,2020-06-05 17:04:16.688897,2020-06-05 16:36:00.946887
40,40,2020-06-06 09:04:38.749829,2020-06-07 23:03:46.543328
41,41,2020-06-11 11:25:08.371439,2020-06-11 14:11:48.794857
42,42,2020-06-13 16:07:03.278043,2020-06-15 07:45:38.406627
43,43,2020-06-20 04:14:43.895601,2020-06-20 13:16:04.668238
44,44,2020-06-23 09:12:39.749326,2020-06-25 06:21:22.173433
45,45,2020-06-26 04:42:09.780987,2020-06-28 05:04:29.690872
46,46,2020-07-01 07:44:17.641502,2020-07-02 09:34:13.951735
47,47,2020-07-10 16:15:52.469324,2020-07-12 04:42:55.355820
48,48,2020-07-11 00:04:01.752330,2020-07-10 22:14:11.792936
49,49,2020-07-15 21:30:32.541606,2020-07-19 06:50:55.968591
